252.7207	1.035521E-4
254.4757	1.2047184E-4
256.2307	1.3967049E-4
257.9857	1.6104119E-4
259.7407	1.8447707E-4
261.4957	2.0987126E-4
263.2507	2.3711691E-4
265.0057	2.6610712E-4
266.7607	2.9673506E-4
268.5157	3.2889386E-4
270.2708	3.6247663E-4
272.0258	3.9737648E-4
273.7808	4.3348662E-4
275.5358	4.7070012E-4
277.2908	5.0891016E-4
279.0458	5.4800982E-4
280.8008	5.8789225E-4
282.5558	6.2845059E-4
284.3108	6.6957797E-4
286.0658	7.1116752E-4
287.8208	7.5311243E-4
289.5758	7.9530576E-4
291.3308	8.3764072E-4
293.0858	8.8001031E-4
294.8408	9.2230772E-4
296.5958	9.644262E-4
298.3508	0.0010062588
300.1058	0.0010476985
301.8608	0.0010886387
303.6158	0.0011289724
305.3708	0.0011685927
307.1259	0.0012073928
308.8809	0.0012452657
310.6359	0.0012821048
312.3909	0.001317803
314.1459	0.0013522536
315.9009	0.0013853494
317.6559	0.0014169841
319.4109	0.0014470504
321.1659	0.0014754414
322.9209	0.0015020503
324.6759	0.0015267705
326.4309	0.001549495
328.1859	0.0015701167
329.9409	0.0015885291
331.6959	0.0016046249
333.4509	0.0016182977
335.2059	0.0016294402
336.9609	0.001637946
338.7159	0.0016437077
340.4709	0.0016466188
342.226	0.0016465723
343.981	0.0016434614
345.736	0.0016371792
347.491	0.0016276189
349.246	0.0016666374
351.001	0.0028549291
352.756	0.0026059144
354.511	0.0017914581
356.266	0.0012929541
358.021	0.0019917949
359.776	0.0047693746
361.531	0.010506524
363.286	0.018706676
365.041	0.02502618
366.796	0.029992366
368.551	0.036639966
370.306	0.045262985
372.061	0.055750091
373.816	0.06798996
375.571	0.081871264
377.326	0.097282678
379.0811	0.1141129
380.8361	0.1322505
382.5911	0.1515843
384.3461	0.1720028
386.1011	0.1933949
387.8561	0.2156491
389.6111	0.2386541
391.3661	0.2622985
393.1211	0.286438
394.8761	0.3107823
396.6311	0.3350012
398.3861	0.3587644
400.1411	0.3817417
401.8961	0.403603
403.6511	0.4240178
405.4061	0.4423661
407.1611	0.4576845
408.9161	0.4696314
410.6711	0.4778884
412.4261	0.482137
414.1812	0.4820588
415.9362	0.4773354
417.6912	0.4678018
419.4462	0.453785
421.2012	0.4357104
422.9562	0.4188163
424.7112	0.4187987
426.4662	0.4084039
428.2212	0.4146648
429.9762	0.4129465
431.7312	0.4370033
433.4862	0.4829571
435.2412	0.5367029
436.9962	0.5808387
438.7512	0.6027994
440.5062	0.6147209
442.2612	0.6278115
444.0162	0.6346214
445.7712	0.6405447
447.5262	0.6455389
449.2812	0.6495612
451.0363	0.6525689
452.7913	0.6545192
454.5463	0.655364
456.3013	0.6541063
458.0563	0.6501485
459.8113	0.64417
461.5663	0.6368597
463.3213	0.628907
465.0763	0.6210719
466.8313	0.6157581
468.5863	0.613377
470.3413	0.6132239
472.0963	0.6145941
473.8513	0.6167828
475.6063	0.619081
477.3613	0.6198378
479.1163	0.6169415
480.8713	0.6220363
482.6263	0.6337069
484.3813	0.6383107
486.1364	0.6402758
487.8914	0.6402989
489.6464	0.639075
491.4014	0.6372988
493.1564	0.6356652
494.9114	0.634869
496.6664	0.6354443
498.4214	0.6372877
500.1764	0.6401383
501.9314	0.6437351
503.6864	0.647817
505.4414	0.6521233
507.1964	0.6564549
508.9514	0.6607763
510.7064	0.6650782
512.4614	0.6693518
514.2164	0.673588
515.9714	0.6777779
517.7264	0.6819123
519.4814	0.6858701
521.2365	0.6890852
522.9915	0.6908822
524.7465	0.6909584
526.5015	0.6907822
528.2565	0.6906313
530.0115	0.6905087
531.7665	0.6904173
533.5215	0.69036
535.2765	0.6903396
537.0315	0.6903592
538.7865	0.6904216
540.5415	0.6905297
542.2965	0.6906864
544.0515	0.6908947
545.8065	0.6911573
547.5615	0.6914773
549.3165	0.6918575
551.0715	0.6923009
552.8265	0.6928103
554.5815	0.6933887
556.3365	0.6940389
558.0916	0.6947638
559.8466	0.6955665
561.6016	0.6964497
563.3566	0.6974163
565.1116	0.6984693
566.8666	0.6996117
568.6216	0.7008462
570.3766	0.7021757
572.1316	0.7036033
573.8866	0.7050951
575.6416	0.7064837
577.3966	0.7077476
579.1516	0.7088868
580.9066	0.7099008
582.6616	0.7107893
584.4166	0.711552
586.1716	0.7121886
587.9266	0.7126988
589.6816	0.7130823
591.4366	0.7133388
593.1917	0.7134679
594.9467	0.7134693
596.7017	0.7133428
598.4567	0.713088
600.2117	0.7127047
601.9667	0.7121924
603.7217	0.7115509
605.4767	0.7107799
607.2317	0.7098791
608.9867	0.7088481
610.7417	0.7076877
612.4967	0.7064102
614.2517	0.705036
616.0067	0.7035852
617.7617	0.7020783
619.5167	0.7005357
621.2717	0.6989775
623.0267	0.6974243
624.7817	0.6958963
626.5367	0.6944138
628.2917	0.6929972
630.0468	0.6916668
631.8018	0.690443
633.5568	0.6893461
635.3118	0.6883967
637.0668	0.6876348
638.8218	0.6871368
640.5768	0.6869828
642.3318	0.687253
644.0868	0.6878996
645.8418	0.6885306
647.5968	0.6886958
649.3518	0.6879529
651.1068	0.6863584
652.8618	0.6845877
654.6168	0.6827776
656.3718	0.6809415
658.1268	0.6790928
659.8818	0.6772452
661.6368	0.6754121
663.3918	0.6736071
665.1469	0.6718436
666.9019	0.6701353
668.6569	0.6684956
670.4119	0.6669379
672.1669	0.665476
673.9219	0.6641231
675.6769	0.6628929
677.4319	0.661799
679.1869	0.6608546
680.9419	0.6600735
682.6969	0.6594692
684.4519	0.6590551
686.2069	0.6588446
